name,rating,genres,summary,image
VICE,8,"['Drama', 'Crime']","VICE explores today's most pressing issues, from civil unrest and hotbeds of terrorism, to unchecked government corruption and looming environmental catastrophes.",http://static.tvmaze.com/uploads/images/medium_portrait/47/119018.jpg
Archer,8.7,"['Comedy', 'Action', 'Adult']","Archer is an animated, half-hour comedy set at the International Secret Intelligence Service, a spy agency where espionage and global crises are merely opportunities for its highly trained employees to confuse, undermine, betray and royally screw each other.",http://static.tvmaze.com/uploads/images/medium_portrait/202/507118.jpg
The Missing,8.3,"['Drama', 'Crime', 'Thriller']",Thriller series exploring the emotional fallout of a child's abduction not only on the family but on the wider community.,http://static.tvmaze.com/uploads/images/medium_portrait/2/5109.jpg
Vicious,7.9,['Comedy'],"Vicious tells the story of partners Freddie and Stuart, who have lived together in a small central London flat for nearly 50 years. Constantly picking each other apart and holding on to petty slights for decades, Freddie and Stuart are always at each other s throats, cracking snide remarks aimed at the other's age, appearance and flaws. However, underneath their vicious, co-dependent fighting, they have a deep love for one another. Freddie and Stuart are often joined by feisty best friend Violet and Ash, their young, upstairs neighbor.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5128.jpg
Community,8.2,['Comedy'],"Community is a smart, exuberant comedy that is consistently ranked as one of the most inventive and original half-hours on television. This ensemble comedy centers around a tight-knit group of friends who all met at what is possibly the world's worst educational institution - Greendale Community College.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5134.jpg
Cougar Town,7.8,['Comedy'],"Jules Cobb is a mom in her forties facing the often humorous challenges, pitfalls and rewards of life's next chapter. Along for the journey is her son, her ex-husband, her husband/neighbor and her friends who together make up her dysfunctional, but supportive and caring extended family... even if they have a funny way of showing it sometimes.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5195.jpg
The Fall,8,"['Drama', 'Crime', 'Thriller']","This gripping psychological thriller forensically examines the lives of two hunters; one a serial killer that stalks his victims at random, and the other a high-powered detective superintendent brought in to catch him.",http://static.tvmaze.com/uploads/images/medium_portrait/75/188991.jpg
Arrested Development,8.6,"['Comedy', 'Family']","After being passed over as partner at The Bluth Co., widower Michael resolves to quit the family business and move away to spend more quality time with his 13-year-old son, George Michael. But when his father George Bluth Sr. is arrested for shifty accounting practices and the family assets are frozen, Michael is forced to stay in Orange County to help his wildly eccentric family pick up the pieces.",http://static.tvmaze.com/uploads/images/medium_portrait/184/461652.jpg
Hit the Floor,7.2,"['Drama', 'Romance', 'Sports']","Hit the Floor explores the sexy world of professional basketball and the dancers who make the fans (and players) go wild. The Los Angeles Devils are the number one team in the league. When the arena lights go on all of Hollywood comes out to support the million dollar players. But in this city these men share the fame, adrenalin, money, sex and power with their dancers, the Devil Girls.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5228.jpg
White Collar,8.3,"['Drama', 'Comedy', 'Crime']","The series focuses on the unlikely partnership between the very intelligent and charming con-artist Neal Caffrey and the hard-working and earnest FBI agent Peter Burke. In exchange for his freedom, and on the condition that he wear an ankle bracelet at all times, Caffrey provides his expertise in thievery to help Burke and agents Clinton Jones and Diana Berrigan catch other elusive white collar criminals.",http://static.tvmaze.com/uploads/images/medium_portrait/2/5238.jpg
